Feature,Estimate,Std Error,t-stat,p-Value
Intercept,75142.6520,81.3631,81.4747,0.0000
MIN_YEARS_EXPERIENCE,6629.0352,23.5386,-3.7848,0.0002
DURATION,-89.0893,2051.7917,0.3695,0.7118
EMPLOYMENT_TYPE_NAME_vec_Fulltime,758.1210,2611.3277,-2.5606,0.0105
EMPLOYMENT_TYPE_NAME_vec_Parttime,-6686.4509,2048.9189,5.2995,0.0000
REMOTE_TYPE_NAME_vec_Undefined,10858.3452,2105.9892,6.4966,0.0000
REMOTE_TYPE_NAME_vec_Remote,13681.8588,2544.8043,7.4017,0.0000
REMOTE_TYPE_NAME_vec_Hybrid,18835.8525,2786.7053,26.9647,0.0000
